send_time          ,time_process          ,image_count ,time_received
1733409603.3394911 , 0.01653003692626953  ,      335.0 ,1733409603.3903968
1733409603.3705406 , 0.014037847518920898 ,      336.0 ,1733409603.3903968
1733409603.4064813 , 0.014043807983398438 ,      337.0 ,1733409603.4622662
1733409603.4379327 , 0.014005661010742188 ,      338.0 ,1733409603.4622662
1733409603.4858124 , 0.014815092086791992 ,      339.0 ,1733409603.5317829
1733409603.517455  , 0.014703512191772461 ,      340.0 ,1733409603.5317829
1733409603.5551052 , 0.015515565872192383 ,      341.0 ,1733409603.5996659
1733409603.5885038 , 0.014118432998657227 ,      342.0 ,1733409603.5996659
1733409603.6222641 , 0.014158010482788086 ,      343.0 ,1733409603.659571
1733409603.6594102 , 0.018397092819213867 ,      344.0 ,1733409603.7197042
1733409603.6952872 , 0.01418447494506836  ,      345.0 ,1733409603.7197042
1733409603.729216  , 0.015649080276489258 ,      346.0 ,1733409603.789091
1733409603.8318217 , 0.018433809280395508 ,      347.0 ,1733409603.8576472
1733409604.6689744 , 0.014479637145996094 ,      348.0 ,1733409604.879931
1733409605.6702852 , 0.014479875564575195 ,      349.0 ,1733409605.694027
1733409605.7691257 , 0.02195596694946289  ,      350.0 ,1733409605.7759712
1733409605.831833  , 0.01477813720703125  ,      351.0 ,1733409605.844076
1733409605.891813  , 0.01844334602355957  ,      352.0 ,1733409605.9073799
1733409605.9299076 , 0.016386747360229492 ,      353.0 ,1733409605.9720829
1733409605.964475  , 0.016248226165771484 ,      354.0 ,1733409605.9720829
1733409606.0016031 , 0.016118526458740234 ,      355.0 ,1733409606.044189
1733409606.0332153 , 0.015393257141113281 ,      356.0 ,1733409606.044189
1733409606.0669076 , 0.013926267623901367 ,      357.0 ,1733409606.122598
1733409606.0990553 , 0.014533519744873047 ,      358.0 ,1733409606.122598
1733409606.1328013 , 0.01486659049987793  ,      359.0 ,1733409606.189267
1733409606.165292  , 0.013999223709106445 ,      360.0 ,1733409606.189267
1733409606.2028096 , 0.015608549118041992 ,      361.0 ,1733409606.24988
1733409606.2352571 , 0.014731645584106445 ,      362.0 ,1733409606.24988
1733409606.2688172 , 0.01453709602355957  ,      363.0 ,1733409606.3244429
1733409606.300761  , 0.01501321792602539  ,      364.0 ,1733409606.3244429
1733409606.3373778 , 0.014699459075927734 ,      365.0 ,1733409606.390431
1733409606.3719933 , 0.014834880828857422 ,      366.0 ,1733409606.390431
1733409606.409104  , 0.01496577262878418  ,      367.0 ,1733409606.462492
1733409606.4407287 , 0.014612197875976562 ,      368.0 ,1733409606.462492
1733409606.4753914 , 0.01422119140625     ,      369.0 ,1733409606.5293398
1733409606.5065966 , 0.013939142227172852 ,      370.0 ,1733409606.5293398
1733409606.5435185 , 0.015862464904785156 ,      371.0 ,1733409606.600099
1733409606.5743287 , 0.014537811279296875 ,      372.0 ,1733409606.600099
1733409606.6100013 , 0.01602768898010254  ,      373.0 ,1733409606.669052
